번호,한자,뜻,음
244,殖,번식할,식
245,晨,새벽,신
246,腎,콩팥,신
247,紳,큰띠,신
248,伸,펼,신
249,尋,찾을,심
250,芽,싹,아
251,阿,언덕,아
252,握,잡을,악
253,岳,큰산,악
254,雁,기러기,안
255,晏,늦을,안
256,按,살필,안
257,鞍,안장,안
258,謁,"뵐,아뢸",알
259,癌,암,암
260,押,"누를,수결",압
261,殃,재앙,앙
262,碍,막을,애
263,厄,재앙,액
264,耶,어조사,야
265,惹,이끌,야
266,孃,아가씨,양
267,御,어거할,어
268,抑,누를,억
269,焉,어조사,언
270,予,"나,줄",여
271,譯,번역할,역
272,疫,염병,역
273,軟,연할,연
274,燕,제비,연
275,閱,"볼,검열할",열
276,厭,싫을,염
277,影,그림자,영
278,詠,읊을,영
279,譽,기릴,예
280,預,"미리,맡길",예
281,傲,거만할,오
282,梧,오동나무,오
283,娛,즐거워할,오
284,嗚,탄식할,오
285,獄,옥,옥
286,翁,늙은이,옹
287,緩,느릴,완
288,歪,비뚤 (외),왜
289,畏,두려울,외
290,妖,요망할,요
291,堯,요임금,요
292,腰,허리,요
293,搖,흔들,요
294,鎔,녹일,용
295,庸,떳떳할,용
296,傭,품팔이,용
297,偶,짝,우
298,禹,하우씨,우
299,韻,"운,운치",운
300,鬱,답답할,울
301,苑,나라동산,원
302,僞,거짓,위
303,尉,벼슬이름,위
304,緯,씨줄,위
305,違,어긋날,위
306,謂,이를,위
307,幽,그윽할,유
308,愈,"더욱,나을",유
309,惟,생각할,유
310,尹,다스릴,윤
311,閏,윤달,윤
312,潤,윤택할,윤
313,融,"녹을,화할",융
314,淫,음란할,음
315,凝,엉길,응
316,伊,저,이
317,夷,클,이
318,翼,날개,익
319,姙,아이밸,임
320,諮,물을,자
321,恣,방자할,자
322,玆,이,자
323,磁,자석,자
324,紫,자줏빛,자
325,刺,찌를,자
326,酌,"따를,술잔",작
327,爵,벼슬,작
328,蠶,누에,잠
329,暫,잠깐,잠
330,藏,감출,장
331,粧,단장할,장
332,墻,담,장
333,掌,손바닥,장
334,葬,장사지낼,장
335,莊,장엄할,장
336,載,실을,재
337,裁,옷마를,재
338,宰,재상,재
339,寂,고요할,적
340,摘,딸,적
341,滴,물방울,적
342,笛,피리,적
343,殿,"대궐,큰집",전
344,竊,훔칠,절
345,漸,점차,점
346,蝶,나비,접
347,艇,거룻배,정
348,偵,정탐할,정
349,穽,함정,정
350,劑,약지을,제
351,釣,낚시,조
352,措,둘,조
353,燥,마를,조
354,彫,새길,조
355,縱,세로,종
356,珠,구슬,주
357,駐,머무를,주
358,洲,물가,주
359,鑄,부어만들,주
360,奏,아뢸,주
361,仲,버금,중
362,憎,미워할,증
363,贈,줄,증
364,蒸,찔,증
365,遲,더딜,지
366,旨,뜻,지
367,脂,비계,지
368,津,나루,진
369,振,떨칠,진
370,震,"진동할,벼락",진
371,診,진찰할,진
372,塵,티끌,진
373,疾,병,질
374,輯,모을,집
375,徵,부를,징
376,懲,징계할,징
377,遮,막을,차
378,捉,잡을,착
379,刹,절,찰
380,札,"편지,패",찰
381,斬,벨,참
382,慙,부끄러워할,참
383,慘,참혹할,참
384,彰,밝을,창
385,滄,큰바다,창
386,蒼,푸를,창
387,暢,화창할,창
388,彩,채색,채
389,悽,슬플,처
390,斥,물리칠,척
391,遷,옮길,천
392,薦,천거할,천
393,撤,거둘,철
394,徹,통할,철
395,諜,염탐할,첩
396,遞,갈마들,체
397,滯,막힐,체
398,締,맺을,체
399,逮,미칠,체
400,肖,닮을,초
401,哨,망볼,초
402,抄,"베낄,노략질할",초
403,焦,탈,초
404,觸,닿을,촉
405,燭,촛불,촉
406,寵,사랑,총
407,催,재촉할,최
408,趨,달릴,추
409,抽,뽑을,추
410,醜,추할,추
411,軸,굴대,축
412,逐,쫓을,축
413,蹴,찰,축
414,衷,정성,충
415,衝,"찌를,부딪칠",충
416,臭,냄새,취
417,炊,불땔,취
