번호,한자,뜻,음
288,樣,모양,양
289,楊,버들,양
290,壤,흙,양
291,輿,수레,여
292,役,부릴,역
293,驛,역마,역
294,延,끌,연
295,鉛,납,연
296,沿,물따라내려갈,연
297,燃,불탈,연
298,緣,인연,연
299,宴,잔치,연
300,演,"펼,멀리흐를",연
301,染,물들일,염
302,鹽,소금,염
303,映,비칠,영
304,泳,헤엄칠,영
305,銳,날카로울,예
306,豫,미리,예
307,汚,더러울,오
308,遙,"멀,거닐",요
309,辱,욕될,욕
310,慾,욕심,욕
311,羽,깃,우
312,優,넉넉할,우
313,愚,어리석을,우
314,郵,우편,우
315,援,구원할,원
316,越,넘을,월
317,圍,둘레,위
318,委,맡길,위
319,胃,밥통,위
320,慰,위로할,위
321,衛,지킬,위
322,誘,꾈,유
323,裕,넉넉할,유
324,悠,멀,유
325,維,벼리,유
326,隱,숨을,은
327,儀,거동,의
328,宜,마땅,의
329,疑,의심,의
330,刃,칼날,인
331,姻,혼인할,인
332,逸,편안,일
333,賃,품팔이,임
334,姿,맵시,자
335,雌,암컷,자
336,資,재물,자
337,殘,남을,잔
338,潛,잠길,잠
339,雜,섞일,잡
340,獎,권면할,장
341,裝,꾸밀,장
342,障,막을,장
343,張,베풀,장
344,丈,어른,장
345,臟,오장,장
346,帳,휘장,장
347,抵,"거스를,막을",저
348,底,밑,저
349,績,"길쌈,공",적
350,賊,도둑,적
351,籍,문서,적
352,跡,발자취,적
353,蹟,"사적,자취",적
354,折,꺾을,절
355,占,점칠,점
356,整,가지런할,정
357,程,"길,법",정
358,訂,바로잡을,정
359,亭,정자,정
360,廷,조정,정
361,征,"칠, 갈",정
362,齊,가지런할,제
363,濟,건널,제
364,提,끌,제
365,堤,둑,제
366,際,"사이,때",제
367,照,비칠,조
368,條,"조목,가지",조
369,弔,조상할,조
370,租,조세,조
371,潮,조수,조
372,組,짤,조
373,拙,못날,졸
374,佐,도울,좌
375,座,자리,좌
376,株,그루,주
377,柱,기둥,주
378,周,두루,주
379,舟,배,주
380,準,법도,준
381,遵,좇을,준
382,俊,준걸,준
383,症,증세,증
384,誌,기록할,지
385,池,못,지
386,織,짤,직
387,陳,늘어놓을,진
388,珍,보배,진
