번호,한자,뜻,음
255,陋,"좁을,더러울",루
256,壘,진,루
257,琉,유리,류
258,硫,유황,류
259,戮,죽일,륙
260,侖,"뭉치,둥글",륜
261,綸,"벼리,낚시줄",륜
262,淪,"빠질,잔물결",륜
263,崙,산이름,륜
264,慄,두려워할,률
265,肋,갈빗대,륵
266,凜,찰,름
267,凌,능가할,릉
268,菱,마름,릉
269,綾,비단,릉
270,莉,말리,리
271,离,"밝을,산신",리
272,俚,속될,리
273,悧,영리할,리
274,籬,울타리,리
275,璃,유리,리
276,痢,이질,리
277,俐,지혜로울,리
278,潾,물맑을,린
279,璘,옥무늬,린
280,躪,짓밟을,린
281,淋,물뿌릴,림
282,琳,아름다운옥,림
283,霖,장마,림
284,笠,삿갓,립
285,瑪,마노,마
286,邈,멀,막
287,鏋,금,만
288,曼,길,만
289,挽,당길,만
290,蔓,덩굴,만
291,沫,거품,말
292,茉,말리꽃,말
293,邙,산이름,망
294,莽,우거질,망
295,邁,"갈,힘쓸",매
296,煤,그을음,매
297,罵,욕할,매
298,萌,싹,맹
299,麵,국수,면
300,棉,목화,면
301,沔,물흘러가득할,면
302,溟,"바다,이슬비",명
303,酩,술취할,명
304,冒,무릅쓸,모
305,摸,본뜰,모
306,歿,죽을,몰
307,猫,고양이,묘
308,錨,닻,묘
309,畝,밭이랑(묘),무
310,憮,심심할,무
311,鵡,앵무새,무
312,撫,어루만질,무
313,拇,엄지손가락,무
314,珷,옥돌,무
315,懋,"힘쓸,성할",무
316,炆,따뜻할,문
317,蚊,모기,문
318,紋,무늬,문
319,渼,물결무늬,미
320,靡,쓰러질,미
321,縻,얽어맬,미
322,薇,장미,미
323,敃,"강할,힘쓸",민
324,忞,마음다잡을,민
325,岷,산이름,민
326,慜,총명할,민
327,鉑,금박,박
328,駁,논박할,박
329,撲,두드릴,박
330,璞,옥돌,박
331,珀,호박,박
332,頒,"나눌,반포할",반
333,磐,너럭바위,반
334,畔,밭두둑,반
335,潑,물뿌릴,발
336,跋,밟을,발
337,勃,우쩍일어날,발
338,彷,거닐,방
339,坊,동네,방
340,昉,밝을,방
341,滂,비퍼부을,방
342,膀,"오줌통,쌍배",방
343,陪,도울,배
344,湃,물결칠,배
345,徘,배회할,배
346,佰,"일백,백사람",백
347,蕃,무성할,번
348,杋,나무이름,범
349,氾,넘칠,범
350,帆,돛,범
351,范,벌풀,범
352,璧,둥근옥,벽
353,霹,벼락,벽
354,闢,열,벽
355,輧,가벼운수레,병
356,餠,떡,병
357,甁,"병,단지",병
358,棅,자루,병
359,鉼,"판금,가마솥",병
360,潽,물넓을,보
361,菩,보살,보
362,堡,작은성,보
363,褓,포대기,보
364,鍑,아가리큰솥,복
365,馥,향기,복
366,棒,몽둥이,봉
367,捧,받들,봉
368,烽,봉화,봉
369,鋒,칼끝,봉
370,琫,"칼집장식,옥",봉
371,俯,"구부릴,숙일",부
372,溥,넓을,부
373,斧,도끼,부
374,孚,"미쁠,참될",부
375,孵,알깔,부
376,芙,연꽃,부
377,腑,장부,부
378,糞,똥,분
379,雰,안개,분
380,汾,"클,물굽이쳐흐를",분
381,鄙,더러울,비
382,庇,덮을,비
383,扉,문짝,비
384,緋,비단,비
385,枇,비파나무,비
386,琵,비파,비
387,泌,샘물흐를,비
388,痹,저릴,비
389,脾,지라,비
390,臂,팔,비
391,誹,헐뜯을,비
392,嬪,궁녀,빈
393,濱,물가,빈
394,斌,빛날,빈
395,牝,암컷,빈
396,憑,기댈,빙
397,裟,가사,사
398,紗,깁,사
399,肆,"늘어놓을,방자할",사
400,獅,사자,사
401,瀉,쏟을,사
402,娑,춤출,사
403,珊,산호,산
404,薩,보살,살
405,杉,삼나무,삼
406,翔,날,상
407,塽,땅높고밝은곳,상
408,湘,물이름,상
409,爽,시원할,상
410,顙,이마,상
411,璽,옥새,새
412,穡,거둘,색
413,笙,생황,생
414,壻,사위,서
415,曙,새벽,서
416,嶼,섬,서
417,㥠,지혜,서
418,抒,"풀,펼",서
419,鉐,놋쇠,석
420,䄷,섬,석
421,淅,쌀일,석
422,汐,저녁조수,석
423,嬋,고울,선
424,銑,무쇠,선
425,渲,"바림,물적실",선
426,墡,백토,선
427,羨,부러워할,선
428,扇,부채,선
429,煽,불부칠,선
430,腺,샘,선
431,琁,옥,선
432,珗,옥돌,선
433,愃,쾌할,선
434,褻,"더러울,속옷",설
435,泄,샐,설
436,楔,쐐기,설
437,渫,칠,설
438,殲,다죽일,섬
439,惺,깰,성
440,瑆,옥빛,성
441,珹,옥이름,성
442,遡,거슬러올라갈,소
443,搔,긁을,소
444,卲,높을,소
445,柖,나무흔들릴,소
446,炤,밝을,소
447,玿,아름다운옥,소
448,韶,아름다울,소
449,霄,하늘,소
450,嘯,휘파람불,소
451,巽,"괘이름,유순할",손
452,飱,저녁밥,손
453,淞,물이름,송
454,灑,뿌릴,쇄
455,釗,"힘쓸,쇠",쇠
456,髓,골수,수
457,隧,길,수
458,狩,사냥,수
459,岫,산굴,수
460,竪,세울,수
461,袖,소매,수
462,琇,옥돌,수
463,讐,원수,수
464,穗,이삭,수
465,綬,인끈,수
466,瘦,파리할,수
467,綏,편안할,수
468,嫂,형수,수
469,橚,나무줄지어설,숙
470,俶,비롯할,숙
471,璹,옥그릇,숙
472,琡,옥이름,숙
473,夙,일찍,숙
474,馴,길들일,순
475,詢,물을,순
476,錞,사발종,순
477,醇,순후할,순
478,諄,타이를,순
479,嵩,"높을,산이름",숭
480,膝,무릎,슬
481,璱,푸른진주,슬
482,陞,오를,승
483,丞,정승,승
484,柹,감나무,시
485,恃,믿을,시
486,熄,꺼질,식
487,拭,닦을,식
488,寔,이,식
489,栻,점판,식
490,埴,찰흙,식
491,薪,땔나무,신
492,訊,물을,신
493,莘,족도리풀,신
494,悉,다,실
495,沁,스며들,심
496,什,열,십
497,衙,마을,아
498,訝,"맞을,의심할",아
499,峨,산높을,아
500,娥,예쁠,아
501,愕,놀랄,악
502,堊,흰흙,악
503,軋,삐걱거릴,알
504,闇,"닫힌문,어두울",암
505,菴,초막,암
506,昻,높을,앙
507,鴦,원앙새,앙
508,曖,"가릴,흐릴",애
509,崖,낭떠러지,애
510,厓,언덕,애
511,腋,겨드랑이,액
512,鶯,꾀꼬리,앵
513,櫻,앵두나무,앵
514,鸚,앵무새,앵
515,冶,불릴,야
516,爺,아비,야
517,驤,"머리들,달릴",양
518,攘,물리칠,양
519,瘍,종기,양
520,漾,출렁거릴,양
521,馭,부릴,어
522,飫,"포식할,물릴",어
523,檍,참죽나무,억
524,諺,"상말,속담",언
525,掩,가릴,엄
526,俺,나,엄
527,奄,문득,엄
528,嶪,산높을,업
529,晹,날흐릴,역
530,沇,강이름,연
531,筵,대자리,연
532,涓,"물흐를,가릴",연
533,娟,예쁠,연
534,讌,"잔치,모여이야기할",연
535,艶,고울,염
536,琰,"옥,홀",염
537,曄,빛날,엽
538,纓,갓끈,영
539,渶,강이름,영
540,楹,기둥,영
541,塋,무덤,영
542,瀯,물흐를,영
543,鍈,방울소리,영
544,煐,"사람이름,빛날",영
545,嬰,어릴,영
546,瓔,옥돌,영
547,穎,"이삭,빼어날",영
548,曳,끌,예
549,乂,"다스릴,벨",예
550,叡,밝을,예
551,刈,"벨,자를",예
552,翳,"일산,가릴",예
553,裔,후손,예
554,旿,"낮밝을,대낮",오
555,晤,"밝을,만날",오
556,奧,"속,깊을",오
557,珸,옥돌,오
558,寤,잠깰,오
559,瑥,사람이름,온
560,穩,평온할,온
561,媼,할미,온
562,壅,막힐,옹
563,渦,소용돌이,와
564,翫,가지고놀,완
565,阮,"관이름,성",완
566,梡,"도마,장작",완
567,琬,아름다운옥,완
568,婉,아름다울,완
569,浣,옷빨,완
570,玩,"장난할,놀",완
571,垸,칠에회바를,완
572,腕,팔,완
573,枉,굽을,왕
574,猥,함부로,외
575,窈,그윽할,요
576,窯,"기와굽는가마,도기",요
577,饒,넉넉할,요
578,僥,바랄,요
579,寥,쓸쓸할,료
580,颻,불어오르는바람,요
581,瑤,아름다운옥,요
582,擾,어지러울,요
583,凹,오목할,요
584,埇,길돋을,용
585,墉,담,용
586,湧,물솟아날,용
587,蓉,부용,용
588,榕,용나무,용
589,迂,멀,우
590,隅,모퉁이,우
591,堣,산모퉁이,우
592,釪,"악기이름,바리때",우
593,玗,옥돌,우
594,瑀,패옥,우
595,虞,헤아릴,우
596,彧,문채,욱
597,耘,김맬,운
598,沄,소용돌이칠,운
599,殞,죽을,운
600,澐,큰물결,운
601,沅,강이름,원
602,轅,끌채,원
603,垣,담,원
604,愿,삼갈,원
605,洹,세차게흐를,원
606,嫄,여자이름,원
607,猿,원숭이,원
608,鴛,원앙,원
609,寃,원통할,원
610,煒,붉은빛,위
611,瑋,진귀할,위
612,暐,햇빛,위
613,輶,가벼울,유
614,洧,강이름,유
615,侑,권할,유
616,諭,깨우칠,유
617,猷,꾀할,유
618,秞,무성할,유
619,攸,바,유
620,蹂,밟을,유
621,瑜,아름다운옥,유
622,宥,용서할,유
623,柚,유자,유
624,臾,잠깐,유
625,帷,장막,유
626,孺,젖먹이,유
627,濡,젖을,유
628,愉,즐거울,유
629,游,헤엄칠,유
630,堉,기름진땅,육
631,玧,귀막는옥,윤
632,阭,높을,윤
633,奫,물깊고넓을,윤
634,戎,"병기,되",융
635,膺,가슴,응
636,毅,굳셀,의
637,懿,아름다울,의
638,誼,옳을,의
639,椅,의자,의
640,倚,의지할,의
641,擬,"헤아릴,비길",의
642,邇,가까울,이
643,貽,끼칠,이
644,爾,너,이
645,弛,늦출,이
646,彞,떳떳할,이
647,頤,"턱,기를",이
648,瀷,"스며흐를,물이름",익
649,謚,웃을,익
650,溢,넘칠,일
651,馹,역말,일
652,稔,곡식익을,임
653,剩,남을,잉
654,孕,아이밸,잉
655,仍,"인할,거듭",잉
656,藉,깔개,자
657,咨,"물을,탄식할",자
658,煮,삶을,자
659,瓷,오지그릇,자
660,仔,자세할,자
661,鵲,까치,작
662,灼,"사를,구울",작
663,芍,작약,작
664,炸,터질,작
665,箴,"바늘,경계할",잠
666,漳,강이름,장
667,暲,밝을,장
668,薔,장미,장
669,奘,클,장
670,梓,가래나무,재
671,縡,일,재
672,齋,재계할,재
673,錚,쇳소리,쟁
674,楮,닥나무,저
675,沮,막을,저
676,躇,머뭇거릴,저
677,咀,씹을,저
678,邸,집,저
679,迪,나아갈,적
680,嫡,정실,적
681,廛,가게,전
682,剪,가위,전
683,琠,귀막이옥,전
684,瑱,귀막이옥,진
685,栓,나무못,전
686,塡,메울,전
687,詮,설명할,전
688,佺,신선이름,전
689,銓,"저울,전형할",전
690,奠,"제사지낼,정할",전
691,牋,편지,전
692,荃,향풀,전
693,晢,밝을,절
694,粘,끈끈할,점
695,湞,강이름,정
696,幀,그림족자,정
697,柾,나무결바를,정
698,鋥,날번뜩일,정
699,靚,단장할,정
700,碇,닻,정
701,釘,못,정
702,町,밭두둑,정
703,炡,빛날,정
704,挺,뺄,정
705,鋌,"쇳덩이,살촉",정
706,酊,술취할,정
707,錠,"신선로,덩이",정
708,淀,얕을물,정
709,姃,여자단정할,정
710,玎,옥소리,정
711,綎,인끈,정
712,鉦,징,정
713,桯,탁자,정
714,珵,패옥,정
715,靖,편안할,정
716,晸,해뜰,정
717,蹄,굽,제
718,梯,사닥다리,제
719,瑅,옥이름,제
720,詔,고할,조
721,棗,대추나무,조
722,俎,도마,조
723,遭,만날,조
724,槽,말구유,조
725,眺,바라볼,조
726,嘲,비웃을,조
727,凋,시들,조
728,肇,시작할,조
729,窕,정숙할,조
730,糟,지게미,조
731,淙,물소리,종
732,踪,발자취,종
733,腫,부스럼,종
734,倧,상고신인,종
735,鍾,술잔,종
736,棕,종려나무,종
737,悰,즐거울,종
738,遒,굳셀,주
739,澍,"단비,적실",주
740,躊,머뭇거릴,주
741,輳,"모일,바퀴살통",주
742,湊,"모일,항구",주
743,誅,벨,주
744,嗾,부추길,주
745,炷,심지,주
746,妵,예쁠,주
747,呪,저주할,주
748,紂,주임금,주
749,胄,투구,주
750,埻,과녁,준
751,畯,농부,준
752,竣,마칠,준
753,隼,새매,준
754,雋,새살찔,전
755,儁,준걸,준
756,焌,태울,준
757,茁,싹틀(촬),줄
758,櫛,빗,즐
759,楫,노,집
760,汁,진액,즙
761,烝,"김오를,무리",증
762,祗,공경할,지
763,咫,길이,지
764,沚,물가,지
765,趾,발가락,지
766,鋕,새길,지
767,摯,"잡을,지극할",지
768,賑,기민먹일,진
769,禛,복받을,진
770,縝,"삼실,촘촘할",진
771,軫,수레뒤턱나무,진
772,瑨,아름다운옥돌,진
773,跌,넘어질,질
774,瓆,사람이름,질
775,嫉,시기할,질
776,潗,샘솟을,집
777,澄,맑을,징
778,磋,갈,차
779,蹉,넘어질,차
780,瑳,옥빛깨끗할,차
781,撰,글지을,찬
782,澯,맑을,찬
783,纂,모을,찬
