번호,한자,뜻,음
1,價,값,가
2,甘,달,감
3,減,덜,감
4,監,볼,감
5,改,고칠,개
6,個,낱,개
7,擧,들,거
8,健,건강할,건
9,件,사건,건
10,建,세울,건
11,競,다툴,경
12,景,볕,경
13,季,철,계
14,固,굳을,고
15,故,연고,고
16,骨,뼈,골
17,課,매길,과
18,關,"관계할,빗장",관
19,觀,볼,관
20,廣,넓을,광
21,橋,다리,교
22,具,갖출,구
23,救,구원할,구
24,求,구할,구
25,舊,옛,구
26,久,오랠,구
27,局,판,국
28,君,임금,군
29,規,법,규
30,極,다할,극
31,給,줄,급
32,其,그,기
33,器,그릇,기
34,期,기약할,기
35,汽,물끓는김,기
36,技,재주,기
37,基,터,기
38,念,생각,념
39,團,"둥글,모일",단
40,端,바를,단
41,壇,제단,단
42,談,말씀,담
43,都,도읍,도
44,島,섬,도
45,到,이를,도
46,獨,홀로,독
47,朗,밝을,랑
48,冷,찰,랭
49,兩,두,량
50,量,헤아릴,량
51,旅,나그네,려
52,練,익힐,련
53,領,옷깃,령
54,令,"하여금,명령할",령
55,料,헤아릴,료
56,類,무리,류
57,陸,뭍,륙
58,律,법,률
59,望,바랄,망
60,妹,아랫누이,매
61,牧,칠,목
62,武,굳셀,무
63,味,맛,미
64,未,아닐,미
65,倍,갑절,배
66,變,변할,변
67,報,갚을,보
68,富,부자,부
69,婦,"지어미,며느리",부
70,備,갖출,비
71,比,견줄,비
72,費,쓸,비
73,鼻,코,비
74,貧,가난할,빈
75,寫,"베낄,쓸",사
76,謝,사례할,사
77,師,스승,사
78,査,조사할,사
79,産,낳을,산
80,賞,상줄,상
81,商,장사,상
82,常,항상,상
83,序,차례,서
84,選,가릴,선
85,鮮,고울,선
86,船,배,선
87,仙,신선,선
88,善,착할,선
89,說,말씀,설
90,星,별,성
91,聖,성스러울,성
92,盛,성할,성
93,聲,소리,성
94,城,재,성
95,誠,정성,성
96,勢,권세,세
97,歲,해,세
98,束,묶을,속
99,送,보낼,송
100,授,줄,수
101,守,지킬,수
102,視,볼,시
103,試,시험,시
104,是,옳을,시
105,識,알,식
106,氏,성씨,씨
107,惡,악할,악
108,眼,눈,안
109,案,"책상,생각",안
110,暗,어두울,암
111,約,맺을,약
112,養,기를,양
113,餘,남을,여
114,熱,더울,열
115,葉,잎,엽
116,藝,재주,예
117,屋,집,옥
118,完,완전할,완
119,往,갈,왕
120,曜,빛날,요
121,浴,목욕할,욕
122,雨,비,우
123,雄,수컷,웅
124,願,원할,원
125,偉,클,위
126,爲,할,위
127,恩,은혜,은
128,義,옳을,의
129,移,옮길,이
130,將,장수,장
131,財,재물,재
132,災,재앙,재
133,爭,다툴,쟁
134,低,낮을,저
135,貯,쌓을,저
136,敵,원수,적
137,傳,전할,전
138,切,"끊을,간절할",절
139,節,마디,절
140,店,가게,점
141,情,뜻,정
142,停,머무를,정
143,精,정기,정
144,政,정사,정
145,祭,제사,제
146,調,고를,조
147,助,도울,조
148,鳥,새,조
149,早,이를,조
150,操,잡을,조
151,存,있을,존
152,終,마칠,종
153,種,씨,종
154,坐,앉을,좌
155,罪,허물,죄
156,週,"주일,돌",주
157,增,더할,증
158,志,뜻,지
159,至,이를,지
160,支,지탱할,지
161,進,나아갈,진
162,眞,참,진
163,質,바탕,질
164,次,버금,차
165,着,붙을,착
166,察,살필,찰
167,唱,부를,창
168,處,"곳, 살",처
169,鐵,쇠,철
170,最,가장,최
171,祝,빌,축
172,蟲,벌레,충
173,忠,충성,충
174,致,이를,치
175,齒,이,치
176,則,법칙,칙
177,他,다를,타
178,打,칠,타
179,卓,높을,탁
180,炭,숯,탄
181,宅,집,택
182,統,거느릴,통
183,退,물러날,퇴
184,波,물결,파
185,板,널빤지,판
186,敗,패할,패
187,姊,맏누이,자
188,筆,붓,필
189,寒,찰,한
190,限,한정,한
191,害,해칠,해
192,香,향기,향
193,許,허락할,허
194,協,도울,협
195,惠,은혜,혜
196,好,좋을,호
197,湖,호수,호
198,患,근심,환
199,回,돌,회
200,效,본받을,효
