번호,한자,뜻,음
1,歌,노래,가
2,﻿家,집,가
3,各,각각,각
4,間,사이,간
5,强,강할,강
6,開,열,개
7,去,갈,거
8,見,볼,견
9,京,서울,경
10,計,셀,계
11,高,높을,고
12,功,공,공
13,空,빌,공
14,共,함께,공
15,科,과목,과
16,光,빛,광
17,敎,가르칠,교
18,交,사귈,교
19,校,학교,교
20,區,나눌,구
21,國,나라,국
22,軍,군사,군
23,近,가까울,근
24,急,급할,급
25,旗,기,기
26,記,기록할,기
27,氣,기운,기
28,農,농사,농
29,多,많을,다
30,短,짧을,단
31,答,대답할,답
32,當,마땅할,당
33,對,대답할,대
34,代,대신할,대
35,道,길,도
36,刀,칼,도
37,讀,읽을,독
38,冬,겨울,동
39,洞,고을,동
40,頭,머리,두
41,等,무리,등
42,登,오를,등
43,樂,즐거울,락
44,來,올,래
45,老,늙을,로
46,理,다스릴,리
47,里,마을,리
48,利,이로울,리
49,萬,일만,만
50,每,매양,매
51,面,낯,면
52,命,목숨,명
53,明,밝을,명
54,毛,털,모
55,無,없을,무
56,聞,들을,문
57,問,물을,문
58,物,물건,물
59,米,쌀,미
60,民,백성,민
61,班,나눌,반
62,半,반,반
63,放,놓을,방
64,番,차례,번
65,別,다를,별
66,步,걸음,보
67,部,거느릴,부
68,分,나눌,분
69,社,모일,사
70,事,일,사
71,死,죽을,사
72,色,빛,색
73,書,글,서
74,線,줄,선
75,性,성품,성
76,成,이룰,성
77,所,바,소
78,首,머리,수
79,詩,글,시
80,時,때,시
81,示,보일,시
82,市,저자,시
83,植,심을,식
84,神,귀신,신
85,身,몸,신
86,信,믿을,신
87,新,새로울,신
88,室,집,실
89,安,편안할,안
90,夜,밤,야
91,弱,약할,약
92,語,말씀,어
93,言,말씀,언
94,永,길,영
95,英,꽃부리,영
96,午,낮,오
97,用,쓸,용
98,友,벗,우
99,遠,멀,원
100,原,"언덕,근본",원
101,元,으뜸,원
102,有,있을,유
103,肉,고기,육
104,育,기를,육
105,銀,은,은
106,音,소리,음
107,邑,고을,읍
108,意,뜻,의
109,作,지을,작
110,長,긴,장
111,場,마당,장
112,才,재주,재
113,田,밭,전
114,電,번개,전
115,前,앞,전
116,全,온전할,전
117,朝,아침,조
118,祖,할아비,조
119,晝,낮,주
120,住,살,주
121,竹,대,죽
122,重,무거울,중
123,直,곧을,직
124,草,풀,초
125,村,마을,촌
126,秋,가을,추
127,春,봄,춘
128,親,친할,친
129,太,클,태
130,通,통할,통
131,貝,조개,패
132,便,편할,편
133,平,평평할,평
134,夏,여름,하
135,學,배울,학
136,韓,나라이름,한
137,漢,한수,한
138,合,합할,합
139,海,바다,해
140,行,다닐,행
141,血,피,혈
142,形,모양,형
143,花,꽃,화
144,話,말씀,화
145,和,"화할,화목할",화
146,活,살,활
147,黃,누를,황
148,會,모일,회
149,孝,효도,효
150,後,뒤,후
