번호,한자,뜻,음
271,捐,버릴,연
272,姸,예쁠,연
273,衍,퍼질,연
274,閻,마을,염
275,燁,빛날,엽
276,瑩,"밝을,귀막이옥",영
277,瑛,옥빛,영
278,盈,찰,영
279,芮,성,예
280,濊,"흐릴,깊을",예
281,伍,대오,오
282,墺,물가,오
283,吳,성,오
284,沃,기름질,옥
285,鈺,단단한쇠,옥
286,甕,독,옹
287,擁,안을,옹
288,雍,화락할,옹
289,邕,"화할,막힐",옹
290,訛,그릇될,와
291,莞,왕골,완
292,汪,넓을,왕
293,旺,성할,왕
294,倭,왜나라,왜
295,耀,빛날,요
296,姚,예쁠,요
297,夭,일찍죽을,요
298,茸,녹용,용
299,踊,뛸,용
300,鏞,쇠북,용
301,溶,"질펀히흐를,녹일",용
302,瑢,패옥소리,용
303,佑,도울,우
304,祐,복,우
305,寓,붙여살,우
306,煜,불꽃빛날,욱
307,頊,삼갈,욱
308,郁,성할,욱
309,旭,해뜰,욱
310,昱,햇빛빛날,욱
311,芸,향풀,운
312,蔚,고을이름,울
313,熊,곰,웅
314,媛,계집,원
315,瑗,도리옥,원
316,袁,옷길,원
317,韋,가죽,위
318,魏,나라이름,위
319,渭,물이름,위
320,庾,곳집,유
321,喩,깨우칠,유
322,踰,넘을,유
323,楡,느릅나무,유
324,癒,병나을,유
325,兪,"성,그럴",유
326,胤,"맏아들,이을",윤
327,鈗,병기,윤
328,允,진실로,윤
329,垠,언덕,은
330,殷,은나라,은
331,誾,향기,은
332,鷹,매,응
333,珥,귀고리,이
334,姨,이모,이
335,怡,"화할,기쁠",이
336,翌,다음날,익
337,翊,도울,익
338,咽,목구멍,인
339,鎰,스물넉냥,일
340,佾,춤출,일
341,炙,고기구울,자
342,滋,불을,자
343,疵,흠,자
344,雀,참새,작
345,盞,잔,잔
346,樟,녹나무,장
347,璋,반쪽홀,장
348,蔣,성씨,장
349,匠,장인,장
350,庄,전장,장
351,杖,지팡이,장
352,箸,젓가락,저
353,迹,자취,적
354,甸,경기,전
355,顚,넘어질,전
356,楨,"광나무,근본",정
357,旌,기,정
358,鄭,나라,정
359,晶,맑을,정
360,汀,물가,정
361,呈,"보일,드릴",정
362,禎,상서로울,정
363,鼎,솥,정
364,珽,옥홀,정
365,悌,공경할,제
366,趙,나라,조
367,曹,무리,조
368,祚,복,조
369,曺,성씨,조
370,爪,손톱,조
371,綜,모을,종
372,琮,옥홀,종
373,疇,밭두둑,주
374,廚,부엌,주
375,註,주낼,주
376,做,지을,주
377,埈,가파를,준
378,濬,깊게할,준
379,浚,"깊을,팔",준
380,峻,높을,준
381,晙,밝을,준
382,准,승인할,준
383,駿,준마,준
384,祉,복,지
385,肢,사지,지
386,芝,지초,지
387,址,터,지
388,稙,올벼,직
389,稷,피,직
390,晉,나라이름,진
391,秦,진나라,진
392,叱,꾸짖을,질
393,窒,막을,질
394,斟,짐작할,짐
395,叉,깍지낄,차
396,餐,먹을,찬
397,燦,빛날,찬
398,鑽,송곳,찬
399,璨,옥빛날,찬
400,瓚,제기,찬
401,敞,높을,창
402,昶,"밝을,해길",창
403,蔡,"성,풀떨기",채
404,埰,채밭,채
405,采,"풍채,캘",채
406,陟,오를,척
407,隻,"외짝,새한마리",척
408,釧,팔찌,천
409,澈,물맑을,철
410,喆,밝을,철
411,瞻,볼,첨
412,捷,빠를,첩
413,楚,초나라,초
414,秒,초침(까끄라기묘),초
415,蜀,나라이름,촉
416,囑,부탁할,촉
417,叢,떨기,총
418,崔,높을,최
419,鄒,추나라,추
420,椿,참죽나무,춘
421,黜,물리칠,출
422,沖,깊을,충
423,聚,모을,취
424,仄,기울,측
425,惻,슬퍼할,측
426,雉,꿩,치
427,侈,사치할,치
428,峙,언덕,치
429,勅,칙서,칙
430,鐸,방울,탁
431,呑,삼킬,탄
432,灘,여울,탄
433,眈,노려볼,탐
434,兌,"기쁠,괘이름",태
435,台,별,태
436,坡,언덕,파
437,阪,언덕,판
438,牌,패,패
439,彭,"성,땅이름",팽
440,鞭,채찍,편
441,扁,현판,편
442,哺,먹일,포
443,鮑,절인어물,포
444,鋪,"펼,전방",포
445,葡,포도,포
446,杓,자루,표
447,馮,"성,탈(빙)",풍
448,弼,도울,필
449,乏,다할,핍
450,瑕,"티,흠",하
451,轄,"다스릴,비녀장",할
452,函,함,함
453,陜,땅이름(좁을협),합
454,沆,넓을,항
455,亢,"목,별이름",항
