번호,한자,뜻,음
1,犬,개,견
2,己,몸,기
3,林,수풀,림
4,馬,말,마
5,名,이름,명
6,百,일백,백
7,生,날,생
8,石,돌,석
9,先,먼저,선
10,姓,성씨,성
11,心,마음,심
12,羊,양,양
13,魚,물고기,어
14,玉,구슬,옥
15,牛,소,우
16,耳,귀,이
17,地,땅,지
18,川,내,천
19,千,일천,천
20,天,하늘,천
